Nr_factura = 0 | Valoare = 121 | Cod Reteta = 6
Nr_factura = 1 | Valoare = 199 | Cod Reteta = 14
Nr_factura = 2 | Valoare = 152 | Cod Reteta = 15
Nr_factura = 3 | Valoare = 17 | Cod Reteta = 10
Nr_factura = 4 | Valoare = 61 | Cod Reteta = 7
Nr_factura = 5 | Valoare = 169 | Cod Reteta = 16
Nr_factura = 6 | Valoare = 114 | Cod Reteta = 11
Nr_factura = 7 | Valoare = 109 | Cod Reteta = 17
Nr_factura = 8 | Valoare = 90 | Cod Reteta = 12
Nr_factura = 9 | Valoare = 186 | Cod Reteta = 13
Nr_factura = 10 | Valoare = 239 | Cod Reteta = 2
Nr_factura = 11 | Valoare = 140 | Cod Reteta = 8
Nr_factura = 12 | Valoare = 207 | Cod Reteta = 3
Nr_factura = 13 | Valoare = 23 | Cod Reteta = 9
Nr_factura = 14 | Valoare = 165 | Cod Reteta = 4
Nr_factura = 15 | Valoare = 101 | Cod Reteta = 5
Nr_factura = 16 | Valoare = 256 | Cod Reteta = 0
Nr_factura = 17 | Valoare = 61 | Cod Reteta = 1
Nr_factura = 18 | Valoare = 267 | Cod Reteta = 18
Nr_factura = 19 | Valoare = 148 | Cod Reteta = 20
Nr_factura = 20 | Valoare = 9 | Cod Reteta = 19
Nr_factura = 21 | Valoare = 179 | Cod Reteta = 21
Nr_factura = 22 | Valoare = 178 | Cod Reteta = 22
Nr_factura = 23 | Valoare = 36 | Cod Reteta = 23
Nr_factura = 24 | Valoare = 358 | Cod Reteta = 24
Nr_factura = 25 | Valoare = 63 | Cod Reteta = 25
Nr_factura = 26 | Valoare = 97 | Cod Reteta = 26
Nr_factura = 27 | Valoare = 152 | Cod Reteta = 27
Nr_factura = 28 | Valoare = 85 | Cod Reteta = 28
Nr_factura = 29 | Valoare = 26 | Cod Reteta = 29
Nr_factura = 30 | Valoare = 55 | Cod Reteta = 30
Nr_factura = 31 | Valoare = 107 | Cod Reteta = 31
Nr_factura = 32 | Valoare = 353 | Cod Reteta = 32
Nr_factura = 33 | Valoare = 232 | Cod Reteta = 33
Nr_factura = 34 | Valoare = 351 | Cod Reteta = 34
Nr_factura = 35 | Valoare = 126 | Cod Reteta = 35
Nr_factura = 36 | Valoare = 259 | Cod Reteta = 36
Nr_factura = 37 | Valoare = 282 | Cod Reteta = 37
Nr_factura = 38 | Valoare = 59 | Cod Reteta = 38
Nr_factura = 39 | Valoare = 200 | Cod Reteta = 39
Nr_factura = 40 | Valoare = 55 | Cod Reteta = 40
Nr_factura = 41 | Valoare = 131 | Cod Reteta = 41
Nr_factura = 42 | Valoare = 189 | Cod Reteta = 42
Nr_factura = 43 | Valoare = 170 | Cod Reteta = 43
Nr_factura = 44 | Valoare = 97 | Cod Reteta = 44
Nr_factura = 45 | Valoare = 36 | Cod Reteta = 45
Nr_factura = 46 | Valoare = 146 | Cod Reteta = 46
Nr_factura = 47 | Valoare = 230 | Cod Reteta = 47
Nr_factura = 48 | Valoare = 4 | Cod Reteta = 48
Nr_factura = 49 | Valoare = 255 | Cod Reteta = 49
Nr_factura = 50 | Valoare = 223 | Cod Reteta = 54
Nr_factura = 51 | Valoare = 108 | Cod Reteta = 55
Nr_factura = 52 | Valoare = 85 | Cod Reteta = 56
Nr_factura = 53 | Valoare = 118 | Cod Reteta = 57
Nr_factura = 54 | Valoare = 109 | Cod Reteta = 50
Nr_factura = 55 | Valoare = 194 | Cod Reteta = 51
Nr_factura = 56 | Valoare = 246 | Cod Reteta = 62
Nr_factura = 57 | Valoare = 165 | Cod Reteta = 63
Nr_factura = 58 | Valoare = 205 | Cod Reteta = 64
Nr_factura = 59 | Valoare = 165 | Cod Reteta = 65
Nr_factura = 60 | Valoare = 186 | Cod Reteta = 52
Nr_factura = 61 | Valoare = 79 | Cod Reteta = 53
Nr_factura = 62 | Valoare = 57 | Cod Reteta = 58
Nr_factura = 63 | Valoare = 251 | Cod Reteta = 59
Nr_factura = 64 | Valoare = 294 | Cod Reteta = 60
Nr_factura = 65 | Valoare = 268 | Cod Reteta = 61
Nr_factura = 66 | Valoare = 179 | Cod Reteta = 66
Nr_factura = 67 | Valoare = 311 | Cod Reteta = 67
Nr_factura = 68 | Valoare = 72 | Cod Reteta = 68
Nr_factura = 69 | Valoare = 324 | Cod Reteta = 69
Nr_factura = 70 | Valoare = 23 | Cod Reteta = 70
Nr_factura = 71 | Valoare = 297 | Cod Reteta = 71
Nr_factura = 72 | Valoare = 77 | Cod Reteta = 72
Nr_factura = 73 | Valoare = 59 | Cod Reteta = 73
Nr_factura = 74 | Valoare = 231 | Cod Reteta = 74
Nr_factura = 75 | Valoare = 142 | Cod Reteta = 75
Nr_factura = 76 | Valoare = 11 | Cod Reteta = 78
Nr_factura = 77 | Valoare = 26 | Cod Reteta = 79
Nr_factura = 78 | Valoare = 140 | Cod Reteta = 76
Nr_factura = 79 | Valoare = 75 | Cod Reteta = 77
Nr_factura = 80 | Valoare = 201 | Cod Reteta = 80
Nr_factura = 81 | Valoare = 57 | Cod Reteta = 81
Nr_factura = 82 | Valoare = 197 | Cod Reteta = 82
Nr_factura = 83 | Valoare = 78 | Cod Reteta = 83
Nr_factura = 84 | Valoare = 146 | Cod Reteta = 84
Nr_factura = 85 | Valoare = 240 | Cod Reteta = 85
Nr_factura = 86 | Valoare = 18 | Cod Reteta = 86
Nr_factura = 87 | Valoare = 74 | Cod Reteta = 87
Nr_factura = 88 | Valoare = 257 | Cod Reteta = 88
Nr_factura = 89 | Valoare = 150 | Cod Reteta = 89
Nr_factura = 90 | Valoare = 217 | Cod Reteta = 90
Nr_factura = 91 | Valoare = 11 | Cod Reteta = 91
Nr_factura = 92 | Valoare = 249 | Cod Reteta = 92
Nr_factura = 93 | Valoare = 83 | Cod Reteta = 93
Nr_factura = 94 | Valoare = 180 | Cod Reteta = 94
Nr_factura = 95 | Valoare = 52 | Cod Reteta = 95
Nr_factura = 96 | Valoare = 306 | Cod Reteta = 96
Nr_factura = 97 | Valoare = 79 | Cod Reteta = 97
Nr_factura = 98 | Valoare = 109 | Cod Reteta = 98
Nr_factura = 99 | Valoare = 17 | Cod Reteta = 99
Nr_factura = 100 | Valoare = 114 | Cod Reteta = 100
Nr_factura = 101 | Valoare = 111 | Cod Reteta = 101
Nr_factura = 102 | Valoare = 105 | Cod Reteta = 102
Nr_factura = 103 | Valoare = 99 | Cod Reteta = 103
Nr_factura = 104 | Valoare = 161 | Cod Reteta = 104
Nr_factura = 105 | Valoare = 103 | Cod Reteta = 105
Nr_factura = 106 | Valoare = 407 | Cod Reteta = 106
Nr_factura = 107 | Valoare = 302 | Cod Reteta = 107
Nr_factura = 108 | Valoare = 185 | Cod Reteta = 108
Nr_factura = 109 | Valoare = 199 | Cod Reteta = 109
Nr_factura = 110 | Valoare = 78 | Cod Reteta = 110
Nr_factura = 111 | Valoare = 390 | Cod Reteta = 111
Nr_factura = 112 | Valoare = 300 | Cod Reteta = 112
Nr_factura = 113 | Valoare = 183 | Cod Reteta = 113
Nr_factura = 114 | Valoare = 136 | Cod Reteta = 114
Nr_factura = 115 | Valoare = 210 | Cod Reteta = 116
Nr_factura = 116 | Valoare = 121 | Cod Reteta = 115
Nr_factura = 117 | Valoare = 55 | Cod Reteta = 117
Nr_factura = 118 | Valoare = 125 | Cod Reteta = 118
Nr_factura = 119 | Valoare = 224 | Cod Reteta = 119
Nr_factura = 120 | Valoare = 198 | Cod Reteta = 120
Nr_factura = 121 | Valoare = 196 | Cod Reteta = 121
Nr_factura = 122 | Valoare = 353 | Cod Reteta = 122
Nr_factura = 123 | Valoare = 85 | Cod Reteta = 123
Nr_factura = 124 | Valoare = 214 | Cod Reteta = 124
Nr_factura = 125 | Valoare = 157 | Cod Reteta = 125
Nr_factura = 126 | Valoare = 83 | Cod Reteta = 126
Nr_factura = 127 | Valoare = 155 | Cod Reteta = 127
Nr_factura = 128 | Valoare = 350 | Cod Reteta = 128
Nr_factura = 129 | Valoare = 269 | Cod Reteta = 129
Nr_factura = 130 | Valoare = 135 | Cod Reteta = 130
Nr_factura = 131 | Valoare = 187 | Cod Reteta = 131
Nr_factura = 132 | Valoare = 96 | Cod Reteta = 132
Nr_factura = 133 | Valoare = 61 | Cod Reteta = 133
Nr_factura = 134 | Valoare = 87 | Cod Reteta = 134
Nr_factura = 135 | Valoare = 11 | Cod Reteta = 135
Nr_factura = 136 | Valoare = 212 | Cod Reteta = 136
Nr_factura = 137 | Valoare = 94 | Cod Reteta = 137
Nr_factura = 138 | Valoare = 136 | Cod Reteta = 138
Nr_factura = 139 | Valoare = 135 | Cod Reteta = 139
Nr_factura = 140 | Valoare = 204 | Cod Reteta = 140
Nr_factura = 141 | Valoare = 108 | Cod Reteta = 141
Nr_factura = 142 | Valoare = 105 | Cod Reteta = 142
Nr_factura = 143 | Valoare = 223 | Cod Reteta = 143
Nr_factura = 144 | Valoare = 408 | Cod Reteta = 144
Nr_factura = 145 | Valoare = 307 | Cod Reteta = 145
Nr_factura = 146 | Valoare = 253 | Cod Reteta = 146
Nr_factura = 147 | Valoare = 183 | Cod Reteta = 147
Nr_factura = 148 | Valoare = 162 | Cod Reteta = 148
Nr_factura = 149 | Valoare = 248 | Cod Reteta = 149
Nr_factura = 150 | Valoare = 113 | Cod Reteta = 150
Nr_factura = 151 | Valoare = 261 | Cod Reteta = 151
Nr_factura = 152 | Valoare = 219 | Cod Reteta = 152
Nr_factura = 153 | Valoare = 260 | Cod Reteta = 153
Nr_factura = 154 | Valoare = 290 | Cod Reteta = 154
Nr_factura = 155 | Valoare = 245 | Cod Reteta = 155
Nr_factura = 156 | Valoare = 419 | Cod Reteta = 156
Nr_factura = 157 | Valoare = 136 | Cod Reteta = 157
Nr_factura = 158 | Valoare = 163 | Cod Reteta = 158
Nr_factura = 159 | Valoare = 107 | Cod Reteta = 159
Nr_factura = 160 | Valoare = 176 | Cod Reteta = 160
Nr_factura = 161 | Valoare = 213 | Cod Reteta = 161
Nr_factura = 162 | Valoare = 156 | Cod Reteta = 162
Nr_factura = 163 | Valoare = 9 | Cod Reteta = 163
Nr_factura = 164 | Valoare = 52 | Cod Reteta = 164
Nr_factura = 165 | Valoare = 333 | Cod Reteta = 165
Nr_factura = 166 | Valoare = 35 | Cod Reteta = 166
Nr_factura = 167 | Valoare = 155 | Cod Reteta = 167
Nr_factura = 168 | Valoare = 250 | Cod Reteta = 168
Nr_factura = 169 | Valoare = 364 | Cod Reteta = 169
Nr_factura = 170 | Valoare = 18 | Cod Reteta = 170
Nr_factura = 171 | Valoare = 180 | Cod Reteta = 171
Nr_factura = 172 | Valoare = 129 | Cod Reteta = 172
Nr_factura = 173 | Valoare = 57 | Cod Reteta = 173
Nr_factura = 174 | Valoare = 61 | Cod Reteta = 174
Nr_factura = 175 | Valoare = 211 | Cod Reteta = 175
Nr_factura = 176 | Valoare = 213 | Cod Reteta = 176
Nr_factura = 177 | Valoare = 339 | Cod Reteta = 177
Nr_factura = 178 | Valoare = 232 | Cod Reteta = 178
Nr_factura = 179 | Valoare = 85 | Cod Reteta = 179
Nr_factura = 180 | Valoare = 2 | Cod Reteta = 180
Nr_factura = 181 | Valoare = 112 | Cod Reteta = 181
Nr_factura = 182 | Valoare = 231 | Cod Reteta = 182
Nr_factura = 183 | Valoare = 77 | Cod Reteta = 183
Nr_factura = 184 | Valoare = 79 | Cod Reteta = 184
Nr_factura = 185 | Valoare = 138 | Cod Reteta = 185
Nr_factura = 186 | Valoare = 115 | Cod Reteta = 186
Nr_factura = 187 | Valoare = 77 | Cod Reteta = 187
Nr_factura = 188 | Valoare = 97 | Cod Reteta = 188
Nr_factura = 189 | Valoare = 313 | Cod Reteta = 189
Nr_factura = 190 | Valoare = 212 | Cod Reteta = 190
Nr_factura = 191 | Valoare = 135 | Cod Reteta = 191
Nr_factura = 192 | Valoare = 344 | Cod Reteta = 192
Nr_factura = 193 | Valoare = 36 | Cod Reteta = 193
Nr_factura = 194 | Valoare = 114 | Cod Reteta = 194
Nr_factura = 195 | Valoare = 217 | Cod Reteta = 195
Nr_factura = 196 | Valoare = 270 | Cod Reteta = 196
Nr_factura = 197 | Valoare = 2 | Cod Reteta = 197
Nr_factura = 198 | Valoare = 212 | Cod Reteta = 198
Nr_factura = 199 | Valoare = 101 | Cod Reteta = 199
